name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
Philips,,philips,,"[('Philips S.P.A.', 0.9), ('Philips International B.V.', 0.8), ('Philips AG', 0.7), ('M. Philips Accountants B.V.', 0.6), ('Philips Export B.V.', 0.5)]",,"[('Philips AG', 95), ('Philips S.P.A.', 90), ('Philips International B.V.', 90), ('M. Philips Accountants B.V.', 90), ('Philips Export B.V.', 90)]","{'Philips S.P.A.': 1.8, 'Philips International B.V.': 1.7000000000000002, 'Philips AG': 1.65, 'M. Philips Accountants B.V.': 1.5, 'Philips Export B.V.': 1.4}",Philips S.P.A.
Danaher Corporation,,danaher ,,"[('DANAHER CORPORATION', 0.9), ('Danaher Corporation & Subsidiaries Retirement and Savings Plan & Danaher Corporation & Subsidiaries Savings Plan Master Trust', 0.8), ('DANAHER & WALSH PENSION SCHEME', 0.7), ('Frank E Danaher Residuary Trust', 0.6), ('S. M. CORPORATION', 0.5)]",,"[('DANAHER CORPORATION', 100), ('Danaher Corporation & Subsidiaries Retirement and Savings Plan & Danaher Corporation & Subsidiaries Savings Plan Master Trust', 90), ('DANAHER & WALSH PENSION SCHEME', 86), ('Frank E Danaher Residuary Trust', 86), ('S. M. CORPORATION', 81)]","{'DANAHER CORPORATION': 1.9, 'Danaher Corporation & Subsidiaries Retirement and Savings Plan & Danaher Corporation & Subsidiaries Savings Plan Master Trust': 1.7000000000000002, 'DANAHER & WALSH PENSION SCHEME': 1.56, 'Frank E Danaher Residuary Trust': 1.46, 'S. M. CORPORATION': 1.31}",DANAHER CORPORATION
CYBG plc,Virgin Money UK PLC,cybg ,virgin money uk ,"[('SPORT:80 PLC', 0.9), ('PLC S.P.A.', 0.8), ('3I PLC', 0.7), ('KR1 PLC', 0.6), ('M&G PLC', 0.5)]",,"[('SPORT:80 PLC', 86), ('M&G PLC', 67), ('3I PLC', 64), ('KR1 PLC', 57), ('PLC S.P.A.', 52)]","{'SPORT:80 PLC': 1.76, 'PLC S.P.A.': 1.32, '3I PLC': 1.3399999999999999, 'KR1 PLC': 1.17, 'M&G PLC': 1.17}",SPORT:80 PLC
Deere & Company,,deere & ,,"[('DEERE RECEIVABLES LLC', 0.9), ('JOHN DEERE LIMITED', 0.8), ('Alton Deere, LP', 0.7), ('John Deere Owner Trust 2013-B', 0.6), ('JOHN DEERE FINANCIAL INC.', 0.5)]",,"[('John Deere Owner Trust 2013-B', 86), ('JOHN DEERE FINANCIAL INC.', 86), ('Alton Deere, LP', 56), ('DEERE RECEIVABLES LLC', 53), ('JOHN DEERE LIMITED', 53)]","{'DEERE RECEIVABLES LLC': 1.4300000000000002, 'JOHN DEERE LIMITED': 1.33, 'Alton Deere, LP': 1.26, 'John Deere Owner Trust 2013-B': 1.46, 'JOHN DEERE FINANCIAL INC.': 1.3599999999999999}",John Deere Owner Trust 2013-B
CARLSBERG-B,,carlsberg-b,,"[(""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.9), ('Työstökoneliike M. Koskela Oy', 0.8), ('Työväen Teatterin talosäätiö sr', 0.7), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.6), ('Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry', 0.5)]",,"[('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 55), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 32), ('Työväen Teatterin talosäätiö sr', 32), ('Työstökoneliike M. Koskela Oy', 24), ('Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry', 24)]","{""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.22, 'Työstökoneliike M. Koskela Oy': 1.04, 'Työväen Teatterin talosäätiö sr': 1.02, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 1.15, 'Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry': 0.74}",THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER
TD Ameritrade,TD Ameritrade Holding,td ameritrade,td ameritrade holding,"[('TD AMERITRADE, INC.', 0.9), ('TD S.R.L.', 0.8), ('TD BUS a.s.', 0.7), ('TD Oldco B.V.', 0.6), ('CDM-TD L.L.C.', 0.5)]",,"[('TD AMERITRADE, INC.', 95), ('TD S.R.L.', 86), ('TD BUS a.s.', 35), ('CDM-TD L.L.C.', 33), ('TD Oldco B.V.', 32)]","{'TD AMERITRADE, INC.': 1.85, 'TD S.R.L.': 1.6600000000000001, 'TD BUS a.s.': 1.0499999999999998, 'TD Oldco B.V.': 0.9199999999999999, 'CDM-TD L.L.C.': 0.8300000000000001}","TD AMERITRADE, INC."
CVS Health Corporation,,cvs health ,,"[('CVS HEALTH CORPORATION', 0.9), ('CVS', 0.8), ('CVS Health Future Fund 401(K) Plan', 0.7), ('CVS FERRARI S.P.A.', 0.6), ('CRC Health Corporation', 0.5)]",,"[('CVS HEALTH CORPORATION', 100), ('CRC Health Corporation', 91), ('CVS', 90), ('CVS Health Future Fund 401(K) Plan', 86), ('CVS FERRARI S.P.A.', 46)]","{'CVS HEALTH CORPORATION': 1.9, 'CVS': 1.7000000000000002, 'CVS Health Future Fund 401(K) Plan': 1.56, 'CVS FERRARI S.P.A.': 1.06, 'CRC Health Corporation': 1.4100000000000001}",CVS HEALTH CORPORATION
Darden Restaurants Inc.,,darden restaurants ,,"[('DARDEN RESTAURANTS, INC.', 0.9), ('Darden Bridgeforth & Sons', 0.8), ('L.N. RESTAURANTS S.R.L.', 0.7), ('CO.TI. RESTAURANTS S.R.L.', 0.6), ('Picasso Restaurants B.V.', 0.5)]",,"[('DARDEN RESTAURANTS, INC.', 98), ('L.N. RESTAURANTS S.R.L.', 69), ('CO.TI. RESTAURANTS S.R.L.', 64), ('Picasso Restaurants B.V.', 64), ('Darden Bridgeforth & Sons', 55)]","{'DARDEN RESTAURANTS, INC.': 1.88, 'Darden Bridgeforth & Sons': 1.35, 'L.N. RESTAURANTS S.R.L.': 1.39, 'CO.TI. RESTAURANTS S.R.L.': 1.24, 'Picasso Restaurants B.V.': 1.1400000000000001}","DARDEN RESTAURANTS, INC."
D.R. Horton Inc.,,dr horton ,,"[('HORTON S.R.L.', 0.9), ('Horton Holding, Inc.', 0.8), ('C.P. HORTON WILL TRUST', 0.7), ('HORTON FAMILY TRUST', 0.6), ('Horton CBI, Limited', 0.5)]",,"[('Horton Holding, Inc.', 79), ('HORTON S.R.L.', 76), ('C.P. HORTON WILL TRUST', 59), ('HORTON FAMILY TRUST', 58), ('Horton CBI, Limited', 57)]","{'HORTON S.R.L.': 1.6600000000000001, 'Horton Holding, Inc.': 1.59, 'C.P. HORTON WILL TRUST': 1.29, 'HORTON FAMILY TRUST': 1.18, 'Horton CBI, Limited': 1.0699999999999998}",HORTON S.R.L.
DASSAULT SYSTEME,,dassault systeme,,"[('Dassault Systèmes B.V.', 0.9), ('Dassault Systemes Simulia Corp.', 0.8), ('Dassault Systemes Deutschland GmbH', 0.7), ('DASSAULT SYSTEMES AMERICAS CORP.', 0.6), ('DASSAULT SYSTEMES SOLIDWORKS CORPORATION', 0.5)]",,"[('Dassault Systemes Simulia Corp.', 90), ('Dassault Systemes Deutschland GmbH', 90), ('DASSAULT SYSTEMES AMERICAS CORP.', 90), ('DASSAULT SYSTEMES SOLIDWORKS CORPORATION', 90), ('Dassault Systèmes B.V.', 83)]","{'Dassault Systèmes B.V.': 1.73, 'Dassault Systemes Simulia Corp.': 1.7000000000000002, 'Dassault Systemes Deutschland GmbH': 1.6, 'DASSAULT SYSTEMES AMERICAS CORP.': 1.5, 'DASSAULT SYSTEMES SOLIDWORKS CORPORATION': 1.4}",Dassault Systèmes B.V.
DANSKE BANK A/S,,danske bank a/s,,"[('DANSKE BANK A/S', 0.9), ('Danske Bank Samsøs Fond', 0.8), ('Finansforbundet I Danske Bank', 0.7), ('Danske Bank i Lyngbys Fond', 0.6), ('Danske Andelskassers Bank A/S', 0.5)]",,"[('DANSKE BANK A/S', 100), ('Finansforbundet I Danske Bank', 86), ('Danske Bank i Lyngbys Fond', 86), ('Danske Andelskassers Bank A/S', 86), ('Danske Bank Samsøs Fond', 81)]","{'DANSKE BANK A/S': 1.9, 'Danske Bank Samsøs Fond': 1.61, 'Finansforbundet I Danske Bank': 1.56, 'Danske Bank i Lyngbys Fond': 1.46, 'Danske Andelskassers Bank A/S': 1.3599999999999999}",DANSKE BANK A/S
Diamondback Energy Inc.,,diamondback energy ,,"[('Diamondback Master Fund, Ltd.', 0.9), ('Diamondback Real Holdings, LLC', 0.8), ('ENERGY 21 a.s.', 0.7), ('PH2O ENERGY S.R.L.', 0.6), ('2H ENERGY', 0.5)]",,"[('ENERGY 21 a.s.', 86), ('2H ENERGY', 86), ('Diamondback Real Holdings, LLC', 65), ('Diamondback Master Fund, Ltd.', 64), ('PH2O ENERGY S.R.L.', 49)]","{'Diamondback Master Fund, Ltd.': 1.54, 'Diamondback Real Holdings, LLC': 1.4500000000000002, 'ENERGY 21 a.s.': 1.56, 'PH2O ENERGY S.R.L.': 1.0899999999999999, '2H ENERGY': 1.3599999999999999}",ENERGY 21 a.s.
Derwent London plc,,derwent london ,,"[('DERWENT LONDON PLC', 0.9), ('WARPAINT LONDON PLC', 0.8), ('LONDON SECURITY PLC.', 0.7), ('DERWENT ARIZONA SL', 0.6), ('DERWENT CAPITAL LIMITED', 0.5)]",,"[('DERWENT LONDON PLC', 100), ('WARPAINT LONDON PLC', 76), ('LONDON SECURITY PLC.', 72), ('DERWENT ARIZONA SL', 67), ('DERWENT CAPITAL LIMITED', 54)]","{'DERWENT LONDON PLC': 1.9, 'WARPAINT LONDON PLC': 1.56, 'LONDON SECURITY PLC.': 1.42, 'DERWENT ARIZONA SL': 1.27, 'DERWENT CAPITAL LIMITED': 1.04}",DERWENT LONDON PLC
DEUTSCHE LUFT-RG,,deutsche luft-rg,,"[('Deutsche RR17', 0.9), ('Deutsche PKBMI', 0.8), ('""Deutsche Kolpingsfamilie"" e.V.', 0.7), ('Deutsche Burschenschaft', 0.6), ('Deutsche Haussmann S.à r.l.', 0.5)]",,"[('""Deutsche Kolpingsfamilie"" e.V.', 86), ('Deutsche Haussmann S.à r.l.', 86), ('Deutsche RR17', 72), ('Deutsche PKBMI', 69), ('Deutsche Burschenschaft', 64)]","{'Deutsche RR17': 1.62, 'Deutsche PKBMI': 1.49, '""Deutsche Kolpingsfamilie"" e.V.': 1.56, 'Deutsche Burschenschaft': 1.24, 'Deutsche Haussmann S.à r.l.': 1.3599999999999999}",Deutsche RR17
Digital Realty Trust Inc.,,digital realty trust ,,"[('DIGITAL REALTY TRUST, L.P.', 0.9), ('DIGITAL REALTY TRUST, INC.', 0.8), ('DIGITAL REALTY TRUST, LLC', 0.7), ('Digital Realty (Paris2) SCI', 0.6), ('Digital Realty (Welwyn) S.à r.l.', 0.5)]",,"[('DIGITAL REALTY TRUST, INC.', 98), ('DIGITAL REALTY TRUST, LLC', 90), ('DIGITAL REALTY TRUST, L.P.', 86), ('Digital Realty (Paris2) SCI', 75), ('Digital Realty (Welwyn) S.à r.l.', 70)]","{'DIGITAL REALTY TRUST, L.P.': 1.76, 'DIGITAL REALTY TRUST, INC.': 1.78, 'DIGITAL REALTY TRUST, LLC': 1.6, 'Digital Realty (Paris2) SCI': 1.35, 'Digital Realty (Welwyn) S.à r.l.': 1.2}","DIGITAL REALTY TRUST, INC."
DEUTSCHE BOERSE,,deutsche boerse,,"[('Deka Deutsche Boerse EUROGOV® France 1-3 UCITS ETF', 0.9), ('Deka Deutsche Boerse EUROGOV® France 5-10 UCITS ETF', 0.8), ('Boerse Stuttgart Digital Exchange GmbH', 0.7), ('Deutsche RR17', 0.6), ('Deutsche Mandatos S.A.', 0.5)]",,"[('Deka Deutsche Boerse EUROGOV® France 1-3 UCITS ETF', 90), ('Deka Deutsche Boerse EUROGOV® France 5-10 UCITS ETF', 90), ('Boerse Stuttgart Digital Exchange GmbH', 86), ('Deutsche RR17', 72), ('Deutsche Mandatos S.A.', 66)]","{'Deka Deutsche Boerse EUROGOV® France 1-3 UCITS ETF': 1.8, 'Deka Deutsche Boerse EUROGOV® France 5-10 UCITS ETF': 1.7000000000000002, 'Boerse Stuttgart Digital Exchange GmbH': 1.56, 'Deutsche RR17': 1.3199999999999998, 'Deutsche Mandatos S.A.': 1.1600000000000001}",Deka Deutsche Boerse EUROGOV® France 1-3 UCITS ETF
DENTSPLY SIRONA Inc.,,dentsply sirona ,,"[('DENTSPLY SIRONA INC.', 0.9), ('Dentsply Implants', 0.8), ('DENTSPLY LIMITED', 0.7), ('Dentsply Europe S.à r.l.', 0.6), ('Sirona Biochem Corp.', 0.5)]",,"[('DENTSPLY SIRONA INC.', 100), ('Dentsply Implants', 67), ('DENTSPLY LIMITED', 64), ('Dentsply Europe S.à r.l.', 59), ('Sirona Biochem Corp.', 50)]","{'DENTSPLY SIRONA INC.': 1.9, 'Dentsply Implants': 1.4700000000000002, 'DENTSPLY LIMITED': 1.3399999999999999, 'Dentsply Europe S.à r.l.': 1.19, 'Sirona Biochem Corp.': 1.0}",DENTSPLY SIRONA INC.
Cabot Oil & Gas Corporation,,cabot oil & gas ,,"[('CABOT CORPORATION', 0.9), ('Dart Oil & Gas Corporation', 0.8), ('MERRION OIL & GAS CORPORATION', 0.7), ('Sanchez Oil & Gas Corporation', 0.6), ('Manta Oil & Gas Corporation', 0.5)]",,"[('Dart Oil & Gas Corporation', 91), ('Manta Oil & Gas Corporation', 89), ('CABOT CORPORATION', 86), ('MERRION OIL & GAS CORPORATION', 82), ('Sanchez Oil & Gas Corporation', 82)]","{'CABOT CORPORATION': 1.76, 'Dart Oil & Gas Corporation': 1.71, 'MERRION OIL & GAS CORPORATION': 1.52, 'Sanchez Oil & Gas Corporation': 1.42, 'Manta Oil & Gas Corporation': 1.3900000000000001}",CABOT CORPORATION
DaVita Inc.,,davita ,,"[('DAVITA INC.', 0.9), ('Työterveyslaitos', 0.8), ('Työväenlehdistön Kannatusyhdistys ry', 0.7), ('Työväen Urheiluliiton Yleisurheilun Tuki ry', 0.6), ('Työväen Teatterin talosäätiö sr', 0.5)]",,"[('DAVITA INC.', 100), ('Työväenlehdistön Kannatusyhdistys ry', 45), ('Työväen Teatterin talosäätiö sr', 36), ('Työterveyslaitos', 27), ('Työväen Urheiluliiton Yleisurheilun Tuki ry', 27)]","{'DAVITA INC.': 1.9, 'Työterveyslaitos': 1.07, 'Työväenlehdistön Kannatusyhdistys ry': 1.15, 'Työväen Urheiluliiton Yleisurheilun Tuki ry': 0.87, 'Työväen Teatterin talosäätiö sr': 0.86}",DAVITA INC.
DEUTSCHE BANK-RG,,deutsche bank-rg,,"[('Deutsche RR17', 0.9), ('Deutsche PKBMI', 0.8), ('""Deutsche Kolpingsfamilie"" e.V.', 0.7), ('Deutsche Burschenschaft', 0.6), ('Deutsche Haussmann S.à r.l.', 0.5)]",,"[('""Deutsche Kolpingsfamilie"" e.V.', 86), ('Deutsche Haussmann S.à r.l.', 86), ('Deutsche RR17', 72), ('Deutsche PKBMI', 69), ('Deutsche Burschenschaft', 64)]","{'Deutsche RR17': 1.62, 'Deutsche PKBMI': 1.49, '""Deutsche Kolpingsfamilie"" e.V.': 1.56, 'Deutsche Burschenschaft': 1.24, 'Deutsche Haussmann S.à r.l.': 1.3599999999999999}",Deutsche RR17
Discovery Inc.,,discovery ,,"[('DISCOVERY SHIPPING B.V.', 0.9), ('Discovery Limited', 0.8), ('Discovery Trade s.r.o.', 0.7), ('DISCOVERY, INC.', 0.6), ('THE DISCOVERY FUND - DISCOVERY BALANCED FUND', 0.5)]",,"[('DISCOVERY, INC.', 96), ('DISCOVERY SHIPPING B.V.', 86), ('Discovery Trade s.r.o.', 86), ('THE DISCOVERY FUND - DISCOVERY BALANCED FUND', 86), ('Discovery Limited', 78)]","{'DISCOVERY SHIPPING B.V.': 1.76, 'Discovery Limited': 1.58, 'Discovery Trade s.r.o.': 1.56, 'DISCOVERY, INC.': 1.56, 'THE DISCOVERY FUND - DISCOVERY BALANCED FUND': 1.3599999999999999}",DISCOVERY SHIPPING B.V.
Devon Energy Corporation,,devon energy ,,"[('DEVON ENERGY CORPORATION', 0.9), ('DEVON ENERGY PRODUCTION COMPANY, L.P.', 0.8), ('Retirement Trust for Employees of Devon Energy Corporation', 0.7), ('DEVON SERVICE S.R.L.', 0.6), ('DELTASTREAM ENERGY CORPORATION', 0.5)]",,"[('DEVON ENERGY CORPORATION', 100), ('Retirement Trust for Employees of Devon Energy Corporation', 90), ('DEVON ENERGY PRODUCTION COMPANY, L.P.', 86), ('DELTASTREAM ENERGY CORPORATION', 82), ('DEVON SERVICE S.R.L.', 47)]","{'DEVON ENERGY CORPORATION': 1.9, 'DEVON ENERGY PRODUCTION COMPANY, L.P.': 1.6600000000000001, 'Retirement Trust for Employees of Devon Energy Corporation': 1.6, 'DEVON SERVICE S.R.L.': 1.0699999999999998, 'DELTASTREAM ENERGY CORPORATION': 1.3199999999999998}",DEVON ENERGY CORPORATION
CARREFOUR SA,,carrefour sa,,"[('CARREFOUR ROMANIA SA', 0.9), ('CARREFOUR', 0.8), ('CENTROS COMERCIALES CARREFOUR SA', 0.7), ('Carrefour Nederland B.V.', 0.6), ('Carrefour Property B.V.', 0.5)]",,"[('CARREFOUR', 95), ('CENTROS COMERCIALES CARREFOUR SA', 90), ('CARREFOUR ROMANIA SA', 86), ('Carrefour Nederland B.V.', 86), ('Carrefour Property B.V.', 86)]","{'CARREFOUR ROMANIA SA': 1.76, 'CARREFOUR': 1.75, 'CENTROS COMERCIALES CARREFOUR SA': 1.6, 'Carrefour Nederland B.V.': 1.46, 'Carrefour Property B.V.': 1.3599999999999999}",CARREFOUR ROMANIA SA
Dixons Carphone plc,,dixons carphone ,,"[('SPORT:80 PLC', 0.9), ('PLC S.P.A.', 0.8), ('3I PLC', 0.7), ('KR1 PLC', 0.6), ('M&G PLC', 0.5)]",,"[('SPORT:80 PLC', 86), ('PLC S.P.A.', 86), ('3I PLC', 86), ('KR1 PLC', 86), ('M&G PLC', 86)]","{'SPORT:80 PLC': 1.76, 'PLC S.P.A.': 1.6600000000000001, '3I PLC': 1.56, 'KR1 PLC': 1.46, 'M&G PLC': 1.3599999999999999}",SPORT:80 PLC
DSV A/S,,dsv a/s,,"[('DSV I EXPRESS B.V.', 0.9), ('DSV III EXPRESS B.V.', 0.8), ('DSV Air & Sea B.V.', 0.7), ('DSV zaden Nederland B.V.', 0.6), ('DSV Air & Sea', 0.5)]",,"[('DSV I EXPRESS B.V.', 86), ('DSV III EXPRESS B.V.', 86), ('DSV Air & Sea B.V.', 86), ('DSV zaden Nederland B.V.', 86), ('DSV Air & Sea', 86)]","{'DSV I EXPRESS B.V.': 1.76, 'DSV III EXPRESS B.V.': 1.6600000000000001, 'DSV Air & Sea B.V.': 1.56, 'DSV zaden Nederland B.V.': 1.46, 'DSV Air & Sea': 1.3599999999999999}",DSV I EXPRESS B.V.
Dover Corporation,,dover ,,"[('DOVER CORPORATION', 0.9), ('500 DOVER, L.L.C.', 0.8), ('Downtown Dover Partnership Corporation', 0.7), ('DOVER MORTGAGE CAPITAL CORPORATION', 0.6), ('DOVER TWO MORTGAGE CAPITAL CORPORATION', 0.5)]",,"[('DOVER CORPORATION', 100), ('Downtown Dover Partnership Corporation', 86), ('DOVER MORTGAGE CAPITAL CORPORATION', 86), ('DOVER TWO MORTGAGE CAPITAL CORPORATION', 86), ('500 DOVER, L.L.C.', 53)]","{'DOVER CORPORATION': 1.9, '500 DOVER, L.L.C.': 1.33, 'Downtown Dover Partnership Corporation': 1.56, 'DOVER MORTGAGE CAPITAL CORPORATION': 1.46, 'DOVER TWO MORTGAGE CAPITAL CORPORATION': 1.3599999999999999}",DOVER CORPORATION
Dunelm Group Plc,,dunelm  ,,"[('DUNELM GROUP PLC', 0.9), ('DUNELM CAPITAL LIMITED', 0.8), ('DUNELM (SOFT FURNISHINGS) LTD', 0.7), ('4IMPRINT GROUP PLC', 0.6), ('WINIT365 GROUP PLC', 0.5)]",,"[('DUNELM GROUP PLC', 100), ('DUNELM (SOFT FURNISHINGS) LTD', 86), ('4IMPRINT GROUP PLC', 68), ('WINIT365 GROUP PLC', 68), ('DUNELM CAPITAL LIMITED', 53)]","{'DUNELM GROUP PLC': 1.9, 'DUNELM CAPITAL LIMITED': 1.33, 'DUNELM (SOFT FURNISHINGS) LTD': 1.56, '4IMPRINT GROUP PLC': 1.28, 'WINIT365 GROUP PLC': 1.1800000000000002}",DUNELM GROUP PLC
Duke Realty Corporation,,duke realty ,,"[('DUKE ENERGY CORPORATION', 0.9), ('L.M.I. Realty Corporation', 0.8), ('J.L.M. Realty Corporation', 0.7), ('Duke B.V.', 0.6), ('DUKE S.R.L.', 0.5)]",,"[('Duke B.V.', 86), ('DUKE S.R.L.', 86), ('L.M.I. Realty Corporation', 84), ('J.L.M. Realty Corporation', 84), ('DUKE ENERGY CORPORATION', 83)]","{'DUKE ENERGY CORPORATION': 1.73, 'L.M.I. Realty Corporation': 1.6400000000000001, 'J.L.M. Realty Corporation': 1.54, 'Duke B.V.': 1.46, 'DUKE S.R.L.': 1.3599999999999999}",DUKE ENERGY CORPORATION
Duke Energy Corporation,,duke energy ,,"[('DUKE ENERGY CORPORATION', 0.9), ('DUKE ENERGY INDIANA, LLC', 0.8), ('DUKE ENERGY SHOREHAM, LLC', 0.7), ('DUKE ENERGY FLORIDA, LLC', 0.6), ('DUKE ENERGY OHIO, INC.', 0.5)]",,"[('DUKE ENERGY CORPORATION', 100), ('DUKE ENERGY OHIO, INC.', 73), ('DUKE ENERGY SHOREHAM, LLC', 65), ('DUKE ENERGY FLORIDA, LLC', 64), ('DUKE ENERGY INDIANA, LLC', 62)]","{'DUKE ENERGY CORPORATION': 1.9, 'DUKE ENERGY INDIANA, LLC': 1.42, 'DUKE ENERGY SHOREHAM, LLC': 1.35, 'DUKE ENERGY FLORIDA, LLC': 1.24, 'DUKE ENERGY OHIO, INC.': 1.23}",DUKE ENERGY CORPORATION
Drax Group plc,,drax  ,,"[('THE DRAX GROUP PLC APPROVED SHARE INCENTIVE PLAN', 0.9), ('JB Drax SAS', 0.8), ('DRAX CORPORATE LIMITED', 0.7), ('Drax Holding AB', 0.6), ('DRAX POWER LIMITED', 0.5)]",,"[('THE DRAX GROUP PLC APPROVED SHARE INCENTIVE PLAN', 90), ('DRAX CORPORATE LIMITED', 86), ('JB Drax SAS', 50), ('DRAX POWER LIMITED', 50), ('Drax Holding AB', 48)]","{'THE DRAX GROUP PLC APPROVED SHARE INCENTIVE PLAN': 1.8, 'JB Drax SAS': 1.3, 'DRAX CORPORATE LIMITED': 1.56, 'Drax Holding AB': 1.08, 'DRAX POWER LIMITED': 1.0}",THE DRAX GROUP PLC APPROVED SHARE INCENTIVE PLAN
LVMH Moet Hennessy Louis Vuitton,,lvmh moet hennessy louis vuitton,,"[('LVMH MOET HENNESSY LOUIS VUITTON INC.', 0.9), ('Hout-Moet B.V.', 0.8), ('Hennessy Funds Trust - Hennessy Technology Fund', 0.7), ('LVMH Asia Pacific Limited', 0.6), ('Hennessy Funds Trust - Hennessy BP Energy Fund', 0.5)]",,"[('LVMH MOET HENNESSY LOUIS VUITTON INC.', 95), ('Hout-Moet B.V.', 86), ('Hennessy Funds Trust - Hennessy Technology Fund', 48), ('LVMH Asia Pacific Limited', 44), ('Hennessy Funds Trust - Hennessy BP Energy Fund', 43)]","{'LVMH MOET HENNESSY LOUIS VUITTON INC.': 1.85, 'Hout-Moet B.V.': 1.6600000000000001, 'Hennessy Funds Trust - Hennessy Technology Fund': 1.18, 'LVMH Asia Pacific Limited': 1.04, 'Hennessy Funds Trust - Hennessy BP Energy Fund': 0.9299999999999999}",LVMH MOET HENNESSY LOUIS VUITTON INC.
DSM (KONIN),,dsm (konin),,"[('DSM Inc.', 0.9), ('DSM Desotech B.V.', 0.8), ('DSM ApS', 0.7), ('Koninklijke DSM N.V.', 0.6), ('DSM Sourcing B.V.', 0.5)]",,"[('DSM Desotech B.V.', 86), ('Koninklijke DSM N.V.', 86), ('DSM Sourcing B.V.', 86), ('DSM Inc.', 71), ('DSM ApS', 57)]","{'DSM Inc.': 1.6099999999999999, 'DSM Desotech B.V.': 1.6600000000000001, 'DSM ApS': 1.27, 'Koninklijke DSM N.V.': 1.46, 'DSM Sourcing B.V.': 1.3599999999999999}",DSM Desotech B.V.
Wendel,Wendel Group,wendel,wendel ,"[('D.P. Wendel B.V.', 0.9), ('Wendel Holding B.V.', 0.8), ('Wendel Lab S.A.', 0.7), ('Wendel GmbH', 0.6), ('Wendel Schornsteintechnik GmbH', 0.5)]",,"[('D.P. Wendel B.V.', 90), ('Wendel Holding B.V.', 90), ('Wendel Lab S.A.', 90), ('Wendel GmbH', 90), ('Wendel Schornsteintechnik GmbH', 90)]","{'D.P. Wendel B.V.': 1.8, 'Wendel Holding B.V.': 1.7000000000000002, 'Wendel Lab S.A.': 1.6, 'Wendel GmbH': 1.5, 'Wendel Schornsteintechnik GmbH': 1.4}",D.P. Wendel B.V.
EDF,,edf,,"[('EDF Inc.', 0.9), ('EDF EUROPE S.R.L.', 0.8), ('EDF RENEWABLES, INC.', 0.7), ('EDF SKY KSH S.À R.L.', 0.6), ('EDF Renewables Services Belgium', 0.5)]",,"[('EDF Inc.', 90), ('EDF EUROPE S.R.L.', 90), ('EDF RENEWABLES, INC.', 90), ('EDF SKY KSH S.À R.L.', 90), ('EDF Renewables Services Belgium', 60)]","{'EDF Inc.': 1.8, 'EDF EUROPE S.R.L.': 1.7000000000000002, 'EDF RENEWABLES, INC.': 1.6, 'EDF SKY KSH S.À R.L.': 1.5, 'EDF Renewables Services Belgium': 1.1}",EDF Inc.
ELECTROLUX AB-B,,electrolux ab-b,,"[('Electrolux AG', 0.9), ('Electrolux Försäkringsaktiebolag', 0.8), ('Aktiebolaget Electrolux', 0.7), ('Electrolux del Perú S.A.', 0.6), ('Electrolux-koncernens pensionsstiftelse', 0.5)]",,"[('Electrolux AG', 86), ('Electrolux Försäkringsaktiebolag', 86), ('Aktiebolaget Electrolux', 86), ('Electrolux-koncernens pensionsstiftelse', 86), ('Electrolux del Perú S.A.', 76)]","{'Electrolux AG': 1.76, 'Electrolux Försäkringsaktiebolag': 1.6600000000000001, 'Aktiebolaget Electrolux': 1.56, 'Electrolux del Perú S.A.': 1.3599999999999999, 'Electrolux-koncernens pensionsstiftelse': 1.3599999999999999}",Electrolux AG
EDENRED,,edenred,,"[('Edenred Belgium', 0.9), ('EDENRED (INDIA) PRIVATE LIMITED', 0.8), ('Työväen Teatterin talosäätiö sr', 0.7), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.6), ('Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry', 0.5)]",,"[('Edenred Belgium', 90), ('EDENRED (INDIA) PRIVATE LIMITED', 90), ('Työväen Teatterin talosäätiö sr', 39), ('Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry', 39), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 17)]","{'Edenred Belgium': 1.8, 'EDENRED (INDIA) PRIVATE LIMITED': 1.7000000000000002, 'Työväen Teatterin talosäätiö sr': 1.0899999999999999, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.77, 'Työväen Sivistysliiton Riihimäen-Lopen opintojärjestö ry': 0.89}",Edenred Belgium
