name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
Snap-on Incorporated,,snap-on incorporated,,"[('B2DIGITAL, INCORPORATED', 0.9), ('LensRentals.com Incorporated', 0.8), ('CR&R INCORPORATED', 0.7), ('DIODES INCORPORATED', 0.6), ('CHIPURNOI INCORPORATED', 0.5)]",,"[('CR&R INCORPORATED', 79), ('LensRentals.com Incorporated', 75), ('DIODES INCORPORATED', 73), ('B2DIGITAL, INCORPORATED', 71), ('CHIPURNOI INCORPORATED', 71)]","{'B2DIGITAL, INCORPORATED': 1.6099999999999999, 'LensRentals.com Incorporated': 1.55, 'CR&R INCORPORATED': 1.49, 'DIODES INCORPORATED': 1.33, 'CHIPURNOI INCORPORATED': 1.21}","B2DIGITAL, INCORPORATED"
Wizz Air Holdings plc,,wizz air holdings ,,"[('Wizz Air Finance Company B.V.', 0.9), ('WIZZ INVESTMENTS', 0.8), ('WIZZ AIR HUNGARY LÉGIKÖZLEKEDÉSI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG', 0.7), ('Air Products Holdings B.V.', 0.6), ('GEAR4MUSIC (HOLDINGS) PLC', 0.5)]",,"[('WIZZ AIR HUNGARY LÉGIKÖZLEKEDÉSI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG', 86), ('Air Products Holdings B.V.', 69), ('GEAR4MUSIC (HOLDINGS) PLC', 69), ('Wizz Air Finance Company B.V.', 53), ('WIZZ INVESTMENTS', 43)]","{'Wizz Air Finance Company B.V.': 1.4300000000000002, 'WIZZ INVESTMENTS': 1.23, 'WIZZ AIR HUNGARY LÉGIKÖZLEKEDÉSI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG': 1.56, 'Air Products Holdings B.V.': 1.29, 'GEAR4MUSIC (HOLDINGS) PLC': 1.19}",WIZZ AIR HUNGARY LÉGIKÖZLEKEDÉSI KORLÁTOLT FELELŐSSÉGŰ TÁRSASÁG
WH Smith Plc,,wh smith ,,"[('WH SMITH FRANCE', 0.9), ('WH SMITH TRAVEL LIMITED', 0.8), ('THE WH POWLETT SMITH DISCRETIONARY SETTLEMENT 2014', 0.7), ('WH LLC', 0.6), ('WH SELFINVEST', 0.5)]",,"[('WH SMITH TRAVEL LIMITED', 86), ('THE WH POWLETT SMITH DISCRETIONARY SETTLEMENT 2014', 86), ('WH LLC', 86), ('WH SMITH FRANCE', 76), ('WH SELFINVEST', 48)]","{'WH SMITH FRANCE': 1.6600000000000001, 'WH SMITH TRAVEL LIMITED': 1.6600000000000001, 'THE WH POWLETT SMITH DISCRETIONARY SETTLEMENT 2014': 1.56, 'WH LLC': 1.46, 'WH SELFINVEST': 0.98}",WH SMITH FRANCE
Waters Corporation,,waters ,,"[('WATERS CORPORATION', 0.9), ('Shallow Waters N.V.', 0.8), ('MG3 Waters, LLC', 0.7), ('NESTLE WATERS', 0.6), ('WATERS PLACE, L.L.C.', 0.5)]",,"[('WATERS CORPORATION', 100), ('NESTLE WATERS', 60), ('MG3 Waters, LLC', 57), ('WATERS PLACE, L.L.C.', 56), ('Shallow Waters N.V.', 48)]","{'WATERS CORPORATION': 1.9, 'Shallow Waters N.V.': 1.28, 'MG3 Waters, LLC': 1.27, 'NESTLE WATERS': 1.2, 'WATERS PLACE, L.L.C.': 1.06}",WATERS CORPORATION
SWATCH GROUP/THE,,swatch /the,,"[('The Swatch Group AG', 0.9), ('The Swatch Group SICAF-SIF', 0.8), ('Caisse de pensions Swatch Group', 0.7), ('THE SWATCH GROUP RE (LUXEMBOURG) S.A.', 0.6), ('Caisse de pensions des cadres Swatch Group', 0.5)]",,"[('The Swatch Group AG', 95), ('The Swatch Group SICAF-SIF', 86), ('Caisse de pensions Swatch Group', 86), ('THE SWATCH GROUP RE (LUXEMBOURG) S.A.', 86), ('Caisse de pensions des cadres Swatch Group', 86)]","{'The Swatch Group AG': 1.85, 'The Swatch Group SICAF-SIF': 1.6600000000000001, 'Caisse de pensions Swatch Group': 1.56, 'THE SWATCH GROUP RE (LUXEMBOURG) S.A.': 1.46, 'Caisse de pensions des cadres Swatch Group': 1.3599999999999999}",The Swatch Group AG
Williams Companies Inc.,,williams  ,,"[('Williams Companies Master Pension Trust', 0.9), ('WILLIAMS & WILLIAMS FIC LIMITED', 0.8), ('WILLIAMS TRUST', 0.7), ('Williams Chrysler, L.P.', 0.6), ('J.M. Williams, LLC', 0.5)]",,"[('Williams Companies Master Pension Trust', 86), ('WILLIAMS TRUST', 86), ('J.M. Williams, LLC', 64), ('WILLIAMS & WILLIAMS FIC LIMITED', 59), ('Williams Chrysler, L.P.', 55)]","{'Williams Companies Master Pension Trust': 1.76, 'WILLIAMS & WILLIAMS FIC LIMITED': 1.3900000000000001, 'WILLIAMS TRUST': 1.56, 'Williams Chrysler, L.P.': 1.15, 'J.M. Williams, LLC': 1.1400000000000001}",Williams Companies Master Pension Trust
WPP plc,,wpp ,,"[('WPP CP FINANCE PLC', 0.9), ('WPP GROUP PLC GRANTOR TRUST', 0.8), ('WPP GROUP PLC UK ESOP', 0.7), ('WPP GROUP PLC ROW ESOP', 0.6), ('WPP FINANCE 2016', 0.5)]",,"[('WPP CP FINANCE PLC', 86), ('WPP GROUP PLC GRANTOR TRUST', 86), ('WPP GROUP PLC UK ESOP', 86), ('WPP GROUP PLC ROW ESOP', 86), ('WPP FINANCE 2016', 86)]","{'WPP CP FINANCE PLC': 1.76, 'WPP GROUP PLC GRANTOR TRUST': 1.6600000000000001, 'WPP GROUP PLC UK ESOP': 1.56, 'WPP GROUP PLC ROW ESOP': 1.46, 'WPP FINANCE 2016': 1.3599999999999999}",WPP CP FINANCE PLC
Vornado Realty Trust,,vornado realty trust,,"[('VORNADO REALTY L.P.', 0.9), ('VORNADO AB', 0.8), ('C.E.M. REALTY TRUST', 0.7), ('315 Realty Trust', 0.6), ('A&B Realty Trust', 0.5)]",,"[('VORNADO AB', 86), ('VORNADO REALTY L.P.', 84), ('315 Realty Trust', 82), ('A&B Realty Trust', 82), ('C.E.M. REALTY TRUST', 76)]","{'VORNADO REALTY L.P.': 1.74, 'VORNADO AB': 1.6600000000000001, 'C.E.M. REALTY TRUST': 1.46, '315 Realty Trust': 1.42, 'A&B Realty Trust': 1.3199999999999998}",VORNADO REALTY L.P.
Wharf Real Estate,,wharf real estate,,"[('B2S Real Estate B.V.', 0.9), ('A.T.S. REAL ESTATE S.R.L.', 0.8), ('JR28 REAL ESTATE S.R.L.', 0.7), ('E42 REAL ESTATE S.R.L.', 0.6), ('REAL ESTATE S.R.L.', 0.5)]",,"[('B2S Real Estate B.V.', 75), ('A.T.S. REAL ESTATE S.R.L.', 75), ('JR28 REAL ESTATE S.R.L.', 75), ('E42 REAL ESTATE S.R.L.', 75), ('REAL ESTATE S.R.L.', 75)]","{'B2S Real Estate B.V.': 1.65, 'A.T.S. REAL ESTATE S.R.L.': 1.55, 'JR28 REAL ESTATE S.R.L.': 1.45, 'E42 REAL ESTATE S.R.L.': 1.35, 'REAL ESTATE S.R.L.': 1.25}",B2S Real Estate B.V.
Whitbread plc,,whitbread ,,"[('FLORA WHITBREAD VOLUNTARY SETTLEMENT', 0.9), ('THE WHITBREAD HARROWDEN SETTLEMENT', 0.8), ('MAJOR SIMON WHITBREAD 1961 DISCRETIONARY SETTLEMENT', 0.7), ('S C WHITBREAD RETAIL SETTLEMENT', 0.6), ('M W WHITBREAD VOLUNTARY SETTLEMENT', 0.5)]",,"[('FLORA WHITBREAD VOLUNTARY SETTLEMENT', 86), ('THE WHITBREAD HARROWDEN SETTLEMENT', 86), ('MAJOR SIMON WHITBREAD 1961 DISCRETIONARY SETTLEMENT', 86), ('S C WHITBREAD RETAIL SETTLEMENT', 86), ('M W WHITBREAD VOLUNTARY SETTLEMENT', 86)]","{'FLORA WHITBREAD VOLUNTARY SETTLEMENT': 1.76, 'THE WHITBREAD HARROWDEN SETTLEMENT': 1.6600000000000001, 'MAJOR SIMON WHITBREAD 1961 DISCRETIONARY SETTLEMENT': 1.56, 'S C WHITBREAD RETAIL SETTLEMENT': 1.46, 'M W WHITBREAD VOLUNTARY SETTLEMENT': 1.3599999999999999}",FLORA WHITBREAD VOLUNTARY SETTLEMENT
